response,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
23,18 - 29,3,4,"ML4T, Global Entrepreneurship ","Good, there could be more courses and they are doing their best to add new courses every year","No, but the reviews are definitely overwhelming. Courses mentioned easy were very challenging for me and vice versa. ","Yes, a lot. Especially when I get stuck on a doubt and I have to read several threads of discussions. It would be much easier to just ask a friend, and I don't mean asking for the solution or the direct answer, just to not get stuck in an endless loop. Btw, I am also working on social environment for online students and I remember giving feedback on one of your assignments. Interesting work, good luck!",5,5,5
24,18 - 29,10,"CS6300,CS6601,CS6035,CS6200,CS7638,CS6460",CS7641,"Decent variety, wish there were more robotics courses",Not particularly,At times,4,5,4
25,30 - 39,>10,7,Not sure yet,Many,Nope,Nope,1,1,3
26,40 - 49,8,2,6742,Decent.,No.,No.,2,4,4
27,18 - 29,10+,"CS7646,CS7638,CS6300,CS6001",CS6601,I think the quantity is sufficient and the quality is high.,No.,A little bit. ,5,4,3
28,18 - 29,5,5,intro to graduate algorithms,there could be more options,no ,yes,3,5,5
29,30 - 39,2,1,not sure,good amount of courses,nope,nope,3,3,3
30,30 - 39,Around 20,8 courses,Not sure,Good selection,No,No,4,4,4
31,30 - 39,About 15,"CS7646, CS6460, CS6601, CS7642, ECE6100, ECE8803, ID8803, CSE6242, CS6750, CS6300",NA,Excellent,No,Yes,5,5,5
32,18 - 29,>10,"CS6460, CS6750",CS6300,Good amount of variaiton.,No,No,4,4,4
33,18 - 29,6,"CS7638, CS6460",CS6200,"I wish there were more classes with exposure to lower level engineering; embedded systems, firmware development, digital logic, etc",Somewhat,Yes,5,4,5
34,18 - 29,3-4,"My first, CS6750",Computer Networks or SDP,I think it's great that we have this flexibility to choose from a large variety of courses.,"Yes, sometimes. For any activity, even in the context of buying an item: when the number of choices are large, it can be overwhelming to pick between them.","Sometimes I do find it isolating as it is mostly self-driven. Most people on Slack do not talk much or want to meet and it is understandable. From my current experience in OMSCS, it is more of upskilling than network building. I hope I'm proved wrong as I go further.",5,5,5
35,30 - 39,10+,"CS7637, CS6460, CS6601, CS7638, CS6750","CS6795, CS7641",There aren't enough,"No, I feel like we need more.",No,5,3,4
36,18 - 29,10-15,"9 (CS 7641, CS 6603, CS 7646, CS 6242, CS 7638, CS 7637, CS 6750, CS 6460, CS 7643) ",Grad Algorithms ,The courses are good.,No,Could be sometimes. ,4,3,4
37,18 - 29,10,"CS6460, CS6457, CS6601, CS7643, CS7641",CS6515,Lack of diversity,yes,sometimes,5,4,5
38,18 - 29,5,"CS7646 , CS6460",Undecided,There are enough,No,No,3,4,4
39,18 - 29,n/a,n/a,n/a,n/a,n/a,n/a,3,3,3
40,18 - 29,12,"8 (CS6300, CS 6601, CS7637, CS6759, CS7632, CS 6150, CS 6460, CS 6515, INTA 6450, MGT 6311)",NA,"Decent amount, but definitely room for growth.",Nope,"Yes, but that's because I don't utilize the community as best as I could.",4,5,4
41,30 - 39,15+,"CS 7641,CS 6603,CS 7646,CSE 6242,CS6460,CS6750,CS7637,CS7637,CS7637",CS6515,Good enough,No,No,4,4,5
42,18 - 29,about 7 or 8,"3; CS6750, CS6603; ISYE6501",haven't decided yet,various and extensive; but hard for CS beginners,"yes, a bit",kind of,5,5,4
43,30 - 39,10+,8,NA,right amount,no,no,4,4,4
44,18 - 29,10,"10 - KBAI, Ed Tech, HCI, AI4R, CN, IIS, SDP, SAT, Global Entrepreneurship, AI",NA,I think more courses (or seats) should be available.   The number of students are increasing but the number of courses are not.,No,No,4,5,5
45,18 - 29,15,CS6750,CS 6456,Good healthy variety of courses,"It could be, but if you know what fields you are interested in then it's not that bad",yes,4,4,4
46,18 - 29,5,"CS6750, CSE6242",CS7637,"There are CS courses offered in person that I would like to take, but they are not offered for OMSCS",no,no,2,4,4
47,30 - 39,12,"AIES, BD4H, CV, CP, DVA, GA, HCI, KBAI, ML, ML4T, SAT, VGD",NA,I really appreciate the large number of courses and the variety.,No,I have at times.,5,5,5
48,18 - 29,4,"CS6570, CS7637, CS7638, CS6250",CS6603,"I wish there were a few more electives offered per specialization, but they're working on it which is awesome! ","At first I did yes, but now I kinda know what I'm looking for in each course and each semester.","No, but that's because I have friends and colleagues in the program. ",1,5,1
49,30 - 39,15+,4,KBAI,great,no,no,4,4,4
50,18 - 29,6,6,"Unsure, maybe database system and design",There is a good selection,Yes,A little,3,4,4
51,18 - 29,7,0,not sure,"open, interactive, high quality",yes,not too much ,4,4,4
52,18 - 29,2,"2, CS6601, CS6750",Knowledge based AI,it is ok,sometimes,not at all,4,4,4
53,18 - 29,2,CS6750,NA,Very good ,Yes,No,3,3,3
