,response,num_courses,score1,score2,score3,average_pred,matches,course_recs,taken_courses
10,15,5,1.0,0.0,4.0,2.6,"[15, 31, 2, 4, 19]","['knowledge_based_ai', 'software_development_process', 'computer_networks', 'data_analytics_and_security', 'computing_for_good']","['educational_technology', 'artificial_intelligence', 'artificial_intelligence_for_robotics', 'computational_photography', 'game_ai']"
11,16,9,1.0,1.0,7.0,2.6666666666666665,"[16, 41, 19, 44, 8]","['game_ai', 'computer_networks', 'data_and_visual_analytics', 'database_systems_concepts_and_design', 'introduction_to_health_informatics']","['educational_technology', 'human_computer_interaction', 'artificial_intelligence', 'advanced_topics_in_software_analysis_and_testing', 'software_development_process', 'knowledge_based_ai', 'software_architecture_and_design', 'introduction_to_information_security', 'digital_marketing']"
12,17,7,0.0,2.0,5.0,2.7142857142857144,"[17, 48, 8, 1, 44]","['software_architecture_and_design', 'artificial_intelligence', 'machine_learning_for_trading', 'artificial_intelligence_for_robotics', 'introduction_to_information_security']","['educational_technology', 'human_computer_interaction', 'ai_ethics_and_society', 'software_development_process', 'database_systems_concepts_and_design', 'introduction_to_health_informatics', 'digital_marketing']"
13,18,9,4.0,0.0,5.0,2.111111111111111,"[18, 24, 34, 12, 37]","['software_architecture_and_design', 'advanced_topics_in_software_analysis_and_testing', 'ai_ethics_and_society', 'network_science', 'artificial_intelligence_for_robotics']","['educational_technology', 'human_computer_interaction', 'machine_learning_for_trading', 'software_development_process', 'introduction_to_information_security', 'reinforcement_learning_and_decision_making', 'deep_learning', 'introduction_to_graduate_algorithms', 'machine_learning']"
14,19,9,1.0,0.0,8.0,2.7777777777777777,"[19, 2, 16, 15, 4]","['ai_ethics_and_society', 'introduction_to_health_informatics', 'game_ai', 'software_architecture_and_design', 'computational_photography']","['educational_technology', 'human_computer_interaction', 'artificial_intelligence', 'machine_learning_for_trading', 'software_development_process', 'knowledge_based_ai', 'database_systems_concepts_and_design', 'database_systems_concepts_and_design', 'data_and_visual_analytics']"
15,21,1,0.0,0.0,1.0,3.0,"[21, 45, 10, 38, 32]","['data_and_visual_analytics', 'ai_ethics_and_society', 'computer_networks', 'introduction_to_information_security', 'introduction_to_health_informatics']",['human_computer_interaction']
16,22,4,0.0,0.0,4.0,3.0,"[22, 13, 27, 11, 14]","['introduction_to_information_security', 'database_systems_concepts_and_design', 'software_development_process', 'digital_marketing', 'advanced_topics_in_software_analysis_and_testing']","['educational_technology', 'human_computer_interaction', 'software_architecture_and_design', 'introduction_to_health_informatics']"
17,24,6,2.0,0.0,4.0,2.3333333333333335,"[24, 18, 2, 15, 34]","['game_ai', 'advanced_topics_in_software_analysis_and_testing', 'software_architecture_and_design', 'network_science', 'introduction_to_health_informatics']","['educational_technology', 'artificial_intelligence', 'artificial_intelligence_for_robotics', 'graduate_introduction_to_operating_systems', 'software_development_process', 'introduction_to_information_security']"
18,27,3,0.0,0.0,3.0,3.0,"[27, 13, 22, 11, 14]","['network_science', 'introduction_to_information_security', 'computational_photography', 'ai_ethics_and_society', 'game_ai']","['artificial_intelligence_for_robotics', 'machine_learning_for_trading', 'software_development_process']"
19,31,5,1.0,0.0,4.0,2.6,"[31, 4, 15, 2, 19]","['ai_ethics_and_society', 'knowledge_based_ai', 'machine_learning', 'computational_photography', 'deep_learning']","['educational_technology', 'human_computer_interaction', 'artificial_intelligence', 'machine_learning_for_trading', 'data_and_visual_analytics']"
20,32,2,0.0,0.0,2.0,3.0,"[32, 38, 33, 45, 14]","['ai_ethics_and_society', 'introduction_to_health_informatics', 'data_and_visual_analytics', 'introduction_to_information_security', 'game_ai']","['educational_technology', 'human_computer_interaction']"
21,33,2,0.0,0.0,2.0,3.0,"[33, 14, 32, 46, 38]","['game_ai', 'computational_photography', 'artificial_intelligence', 'software_development_process', 'introduction_to_information_security']","['educational_technology', 'artificial_intelligence_for_robotics']"
22,34,7,3.0,1.0,3.0,2.0,"[34, 12, 18, 24, 40]","['data_and_visual_analytics', 'network_science', 'reinforcement_learning_and_decision_making', 'software_development_process', 'introduction_to_health_informatics']","['educational_technology', 'human_computer_interaction', 'ai_ethics_and_society', 'artificial_intelligence', 'machine_learning_for_trading', 'deep_learning', 'machine_learning']"
23,37,4,3.0,0.0,1.0,1.5,"[37, 12, 18, 52, 34]","['game_ai', 'advanced_topics_in_software_analysis_and_testing', 'machine_learning_for_trading', 'database_systems_concepts_and_design', 'introduction_to_health_informatics']","['educational_technology', 'artificial_intelligence', 'deep_learning', 'machine_learning']"
24,38,1,0.0,0.0,1.0,3.0,"[38, 45, 21, 10, 32]","['network_science', 'ai_ethics_and_society', 'data_and_visual_analytics', 'software_development_process', 'deep_learning']",['machine_learning_for_trading']
25,40,8,2.0,2.0,4.0,2.25,"[40, 47, 9, 34, 12]","['database_systems_concepts_and_design', 'artificial_intelligence_for_robotics', 'computational_photography', 'data_and_visual_analytics', 'software_architecture_and_design']","['educational_technology', 'artificial_intelligence', 'game_ai', 'software_development_process', 'knowledge_based_ai', 'introduction_to_graduate_algorithms', 'computing_for_good', 'data_analytics_and_security']"
26,41,9,1.0,1.0,7.0,2.6666666666666665,"[41, 16, 8, 44, 19]","['computational_photography', 'artificial_intelligence', 'advanced_topics_in_software_analysis_and_testing', 'introduction_to_graduate_algorithms', 'computing_for_good']","['educational_technology', 'human_computer_interaction', 'ai_ethics_and_society', 'machine_learning_for_trading', 'game_ai', 'knowledge_based_ai', 'knowledge_based_ai', 'machine_learning', 'data_and_visual_analytics']"
27,42,2,0.0,1.0,1.0,2.5,"[42, 1, 48, 17, 8]","['data_and_visual_analytics', 'machine_learning_for_trading', 'computer_networks', 'educational_technology', 'introduction_to_health_informatics']","['human_computer_interaction', 'ai_ethics_and_society']"
28,44,7,0.0,1.0,6.0,2.857142857142857,"[44, 8, 16, 41, 19]","['computational_photography', 'artificial_intelligence', 'software_architecture_and_design', 'advanced_topics_in_software_analysis_and_testing', 'introduction_to_health_informatics']","['educational_technology', 'human_computer_interaction', 'artificial_intelligence_for_robotics', 'game_ai', 'software_development_process', 'introduction_to_information_security', 'computer_networks']"
29,45,1,0.0,0.0,1.0,3.0,"[45, 21, 38, 10, 32]","['data_and_visual_analytics', 'ai_ethics_and_society', 'computer_networks', 'introduction_to_information_security', 'introduction_to_health_informatics']",['human_computer_interaction']
30,46,2,0.0,0.0,2.0,3.0,"[46, 11, 14, 27, 13]","['knowledge_based_ai', 'ai_ethics_and_society', 'machine_learning_for_trading', 'computer_networks', 'machine_learning']","['human_computer_interaction', 'data_and_visual_analytics']"
31,47,9,2.0,2.0,5.0,2.3333333333333335,"[47, 40, 9, 41, 16]","['game_ai', 'software_development_process', 'artificial_intelligence', 'network_science', 'advanced_topics_in_software_analysis_and_testing']","['human_computer_interaction', 'ai_ethics_and_society', 'computational_photography', 'machine_learning_for_trading', 'knowledge_based_ai', 'computer_networks', 'introduction_to_graduate_algorithms', 'machine_learning', 'data_and_visual_analytics']"
32,48,3,0.0,1.0,2.0,2.6666666666666665,"[48, 1, 17, 8, 42]","['game_ai', 'software_development_process', 'computational_photography', 'data_and_visual_analytics', 'human_computer_interaction']","['artificial_intelligence_for_robotics', 'knowledge_based_ai', 'computer_networks']"
33,52,2,1.0,0.0,1.0,2.0,"[52, 18, 37, 12, 24]","['data_and_visual_analytics', 'ai_ethics_and_society', 'computer_networks', 'introduction_to_information_security', 'educational_technology']","['human_computer_interaction', 'artificial_intelligence']"
